Date,Close,High,Low,Open,Volume
2024-04-23,72441.703125,73689.04370860927,72441.703125,73305.24660596026,18717699
2024-04-24,75416.140625,75608.03920165396,74072.8505884224,74360.69845340331,22166150
2024-04-25,73209.28125,74360.67230504587,73209.28125,74168.77379587156,15549134
2024-04-26,73593.09375,74744.48504726206,73401.19520045632,74648.53577249023,12755629
2024-04-29,73593.09375,74456.63722294655,73113.34737614081,74264.73867340287,14664474
2024-04-30,74360.6953125,75320.18815524194,73497.15175403225,73880.94889112902,19007007
2024-05-02,74840.421875,75416.11742788462,74168.77706330128,74456.6248397436,18900640
2024-05-03,74456.640625,75799.930533183,74360.69134584407,75799.930533183,13151889
2024-05-07,78006.7578125,78006.7578125,76183.72165206027,76375.62019526446,26238868
2024-05-08,78006.7578125,78102.70708410209,77239.16363968328,77527.01145448955,13089576
2024-05-09,76471.5546875,78198.64124255019,76471.5546875,77814.84423031681,18759935
2024-05-10,75991.8046875,77814.84040601326,75703.95694247159,77143.19566761363,16976124
2024-05-13,75224.2265625,76663.46559111927,74456.63241390306,76183.71924824618,18652344
2024-05-14,75128.28125,75608.02761813537,74744.4841554917,75416.12907088123,11763992
2024-05-16,75032.328125,77047.26276774297,74936.37885629795,76951.31349904092,20989778
2024-05-17,74264.734375,75608.02414405685,74072.8358365633,75416.12560562015,15918201
2024-05-20,75703.9765625,75895.87510891951,74744.4838304024,74936.38237682193,19456783
2024-05-21,75224.2265625,75799.9221739477,75032.32802535077,75320.17583107462,13690583
2024-05-22,74552.578125,75512.07076496139,74168.78106901544,74936.37518098456,19521506
2024-05-23,75128.28125,75895.8754390166,73976.8899664751,74552.58560823754,18728087
2024-05-24,72825.5078125,73880.94995471014,72633.60924118906,73689.05138339922,27891278
2024-05-27,74072.8515625,75032.3444583873,71002.47429566062,72249.81506031411,43825202
2024-05-28,74456.640625,74840.43774162371,73113.350716817,73401.1985542848,18539072
2024-05-29,72153.8515625,75032.32968334442,72153.8515625,74552.58332987034,30244875
2024-05-30,70522.703125,72153.84047619048,70522.703125,71770.04345238095,28551273
2024-05-31,70522.703125,71674.09419642857,70522.703125,71482.1956845238,26198776
2024-06-03,72633.609375,73305.25437582564,71194.37008751651,71386.26865918098,15706268
2024-06-04,72249.796875,73017.39099850597,71865.999813247,71865.999813247,14098053
2024-06-05,74264.734375,74840.42999031008,73689.03875968992,74840.42999031008,23177968
